DateTime,AddedIPs,RemovedIPs
1592902599,0,1
1592904492,0,1
1592912410,0,1
1592922295,0,1
1592924172,1,1
1592926097,2,0
1592929952,1,0
1592943851,0,1
1592947693,1,0
1592957394,0,1
1592959211,3,0
1592976260,0,1
1592999534,0,1
1593001458,0,2
1593011305,0,2
1593013216,0,2
1593015193,1,0
1593017057,1,1
1593024733,2,0
1593028596,1,0
1593038409,1,0
1593040355,0,1
1593055691,1,0
1593057832,1,0
1593083330,1,0
1593090975,1,0
1593093153,0,1
1593096998,0,1
1593104960,0,1
1593106808,0,1
1593111684,0,1
1593117392,1,0
1593125068,2,0
1593128921,3,0
1593130818,1,0
1593132737,1,0
1593136579,0,1
1593142591,0,1
1593144593,1,0
1593150278,0,1
1593156036,0,1
1593159864,0,1
1593163703,0,1
1593167768,1,0
1593169737,0,1
1593183492,1,0
1593195728,1,0
1593197611,2,0
1593206184,3,0
1593223752,0,1
1593231618,0,1
1593233572,1,2
1593241392,0,2
1593247257,0,1
1593249154,0,1
1593254899,0,1
1593264815,1,0
1593274365,0,1
1593276263,1,0
1593278212,1,0
1593284001,1,0
1593285853,2,0
1593293772,0,1
1593309136,0,2
1593312991,1,0
1593329799,0,1
1593347081,1,0
1593356683,1,0
1593362657,0,2
1593366518,0,1
1593370334,0,1
1593372273,1,1
1593376089,1,0
1593379049,0,1
1593384734,1,0
1593386689,1,0
1593390508,1,0
1593394594,1,0
1593400359,0,1
1593408302,0,1
1593433734,0,1
1593438739,1,1
1593442589,0,1
1593444553,0,1
1593450514,1,0
1593454360,1,0
1593458242,0,1
1593462040,0,2
1593481467,0,1
1593512410,1,0
1593516305,1,0
1593520092,0,1
1593524190,0,1
1593529933,2,0
1593531858,1,0
1593535728,1,0
1593543396,1,0
1593550349,0,1
1593556124,4,0
1593558131,1,0
1593559971,0,1
1593571479,0,1
1593579245,0,1
1593602917,0,1
1593608962,2,0
1593622336,0,1
1593624284,2,0
1593632017,2,0
1593638686,1,0
1593640581,1,0
1593658341,0,1
1593660281,0,4
1593681894,1,0
1593697694,0,1
1593699632,1,0
1593705391,0,1
1593712121,0,2
1593714020,0,1
1593727628,1,0
1593729616,0,1
1593733450,1,0
1593735389,2,0
1593739210,0,1
1593743077,0,1
1593744975,1,0
1593750049,0,1
1593761768,1,0
1593763719,1,0
1593767449,0,1
1593769483,0,2
1593785032,0,1
1593790813,1,0
1593794685,1,0
1593798497,1,0
1593802333,1,0
1593812194,1,0
1593831389,0,1
1593833290,0,1
1593850098,0,1
1593857777,0,1
1593861642,0,1
1593865460,1,0
1593868612,1,0
1593884202,0,1
1593886114,0,1
1593893818,0,1
1593903399,1,0
1593909398,1,1
1593911294,1,0
1593913215,1,0
1593928592,0,1
1593944225,0,1
1593951860,1,0
1593953803,0,1
1593955691,0,1
1593961720,1,0
1593975130,1,0
1593980892,0,1
1593983781,1,0
1593985695,1,0
1593997312,0,1
1593999156,0,1
1594003010,1,0
1594014730,0,1
1594020489,0,1
1594029986,1,0
1594035618,0,1
1594037570,0,1
1594039456,1,1
1594047166,0,1
1594052895,1,0
1594064657,2,0
1594068518,1,0
1594084813,1,0
1594111219,0,1
1594115083,0,1
1594118943,0,1
1594121135,0,1
1594124896,0,1
1594128969,2,0
1594130929,1,0
1594134999,1,0
1594136900,1,0
1594138817,0,1
1594140791,1,0
1594154172,1,1
1594156159,1,0
1594164044,2,0
1594168141,1,1
1594171314,0,1
1594179646,1,0
1594195394,0,1
1594216598,0,1
1594231544,1,0
1594233428,0,1
1594239143,0,1
1594243000,1,1
1594250669,0,2
1594264609,0,1
1594266740,0,3
1594289773,1,0
1594300810,1,0
1594311398,0,1
1594328893,0,1
1594330813,1,0
1594340416,1,0
1594344250,1,0
1594356758,1,0
1594362487,0,1
1594376410,0,1
1594384119,1,0
1594393734,1,0
1594405241,2,0
1594407154,1,0
1594412888,1,0
1594415781,2,0
1594417690,1,0
1594421531,1,0
1594427319,2,0
1594429391,2,0
1594433570,1,1
1594443155,0,1
1594449140,0,1
1594462577,1,0
1594470293,1,0
1594472179,1,0
1594474095,0,1
1594476265,1,0
1594478223,1,0
1594480141,0,1
1594482315,0,1
1594484182,1,0
1594491889,1,1
1594499800,0,2
1594501697,1,0
1594503615,4,0
1594505572,3,1
1594517086,0,1
1594518973,0,1
1594520939,0,1
1594523089,0,1
1594526916,0,1
1594531018,0,3
1594534813,0,1
1594538655,1,1
1594552121,1,0
1594554011,1,0
1594559775,1,1
1594565563,0,1
1594567492,2,0
1594571334,0,1
1594577297,1,1
1594579222,0,1
1594586922,0,1
1594588831,1,0
1594594572,1,1
1594598686,2,0
1594604417,0,3
1594606337,0,3
1594625808,0,1
1594635377,0,1
1594645001,0,2
1594654854,1,1
1594658658,1,0
1594660583,1,1
1594662493,1,0
1594664439,0,1
1594671162,0,1
1594673083,2,0
1594675003,1,1
1594676903,2,0
1594678819,1,0
1594680766,1,0
1594686518,0,1
1594698766,0,1
1594700673,0,1
1594702600,0,1
1594708501,1,0
1594740014,1,0
1594741934,1,1
1594747692,0,2
1594753697,0,1
1594763301,0,2
1594765210,1,1
1594767205,0,1
1594782762,2,0
1594784679,1,0
1594796630,0,1
1594804100,0,1
1594815617,0,1
1594831020,1,0
1594832901,1,0
1594834841,1,0
1594840586,1,0
1594842528,0,1
1594848308,2,0
1594867698,0,1
1594869664,0,1
1594871540,0,1
1594873461,0,1
1594875468,0,1
1594881373,0,1
1594906858,3,0
1594916899,0,1
1594922670,0,1
1594926596,0,1
1594928537,1,0
1594962734,0,1
1594972334,0,1
1594974262,1,0
1594981264,0,1
1594988889,2,0
1594993001,2,1
1595008335,2,0
1595010290,1,0
1595025851,1,0
1595031643,2,0
1595037385,0,1
1595051053,1,0
1595056813,0,1
1595060689,0,1
1595076016,1,1
1595077966,0,2
1595091381,1,0
1595095386,0,1
1595108656,3,0
1595110602,2,0
1595118261,0,1
1595120178,1,0
1595124131,0,2
1595129777,1,0
1595137448,0,1
1595139370,0,1
1595141319,0,1
1595155015,1,0
1595156900,0,1
1595158813,1,1
1595175644,1,0
1595179491,1,0
1595189302,0,1
1595191228,1,0
1595197027,1,0
1595198930,1,0
1595206575,0,2
1595210617,0,3
1595212601,0,3
1595216412,1,1
1595243772,1,1
1595249536,1,0
1595251486,0,1
1595259133,1,0
1595261087,1,0
1595265147,1,0
1595274763,2,0
1595276660,0,1
1595280493,2,0
1595283616,3,0
1595285534,0,1
1595287486,0,1
1595293464,1,0
1595295405,1,0
1595306923,1,0
1595310749,0,1
1595324409,1,2
1595330170,0,1
1595332133,3,0
1595335931,0,1
1595339770,1,0
1595341692,1,0
1595344582,0,1
1595346524,0,1
1595350336,0,1
1595364043,2,0
1595367880,0,1
1595369774,2,1
1595373640,0,1
1595375534,0,1
1595379398,0,1
1595383768,1,0
1595391452,1,0
1595404987,0,1
1595407013,1,0
1595408893,1,0
1595410810,0,1
1595414653,0,1
1595418532,0,2
1595426206,0,1
1595428112,0,1
1595432173,1,0
1595434347,1,0
1595440114,0,2
1595452608,0,2
1595464118,0,1
1595478030,0,1
1595493614,0,1
1595495606,0,1
1595497452,0,1
